msg_type,loss_pct,success,rtt_ms,note
CON,0,1,3.762,ok
NON,0,1,2.787,ok
CON,0,1,3.364,ok
NON,0,1,4.103,ok
CON,0,1,4.446,ok
NON,0,1,2.338,ok
CON,0,1,1.956,ok
NON,0,1,1.223,ok
CON,0,1,1.122,ok
NON,0,1,3.291,ok
CON,0,1,3.461,ok
NON,0,1,1.285,ok
CON,0,1,1.589,ok
NON,0,1,0.993,ok
CON,0,1,1.079,ok
NON,0,1,0.827,ok
CON,0,1,1.01,ok
NON,0,1,0.964,ok
CON,0,1,1.351,ok
NON,0,1,2.375,ok
CON,0,1,2.219,ok
NON,0,1,1.132,ok
CON,0,1,1.799,ok
NON,0,1,1.405,ok
CON,0,1,1.302,ok
NON,0,1,1.982,ok
CON,0,1,1.371,ok
NON,0,1,1.636,ok
CON,0,1,2.205,ok
NON,0,1,2.73,ok
CON,0,1,1.304,ok
NON,0,1,1.682,ok
CON,0,1,1.461,ok
NON,0,1,1.5,ok
CON,0,1,1.147,ok
NON,0,1,1.186,ok
CON,0,1,1.066,ok
NON,0,1,0.946,ok
CON,0,1,2.656,ok
NON,0,1,2.434,ok
CON,5,1,2.153,ok
NON,5,0,-1,timeout
CON,5,1,3.085,ok
NON,5,1,2.382,ok
CON,5,1,2.47,ok
NON,5,1,2.366,ok
CON,5,1,2699.976,ok
NON,5,1,3.275,ok
CON,5,1,2.945,ok
NON,5,1,2.76,ok
CON,5,1,2.6,ok
NON,5,1,2.516,ok
CON,5,1,2.861,ok
NON,5,1,2.626,ok
CON,5,1,2.692,ok
NON,5,0,-1,timeout
CON,5,1,2.421,ok
NON,5,1,2.557,ok
CON,5,1,2.306,ok
NON,5,1,2.117,ok
CON,5,1,2.41,ok
NON,5,1,2.404,ok
CON,5,1,2.392,ok
NON,5,1,2.282,ok
CON,5,1,2.643,ok
NON,5,1,2.588,ok
CON,5,1,2.729,ok
NON,5,1,2.665,ok
CON,5,1,2.848,ok
NON,5,1,2.585,ok
CON,5,1,2.714,ok
NON,5,1,2.373,ok
CON,5,1,2.365,ok
NON,5,1,3.055,ok
CON,5,1,2.788,ok
NON,5,0,-1,timeout
CON,5,1,2980.299,ok
NON,5,1,3.54,ok
CON,5,1,3.083,ok
NON,5,1,2.964,ok
CON,10,1,3.605,ok
NON,10,1,2.847,ok
CON,10,1,1.804,ok
NON,10,1,4.034,ok
CON,10,1,4.255,ok
NON,10,1,4.369,ok
CON,10,1,3.337,ok
NON,10,0,-1,timeout
CON,10,1,3.17,ok
NON,10,1,2.497,ok
CON,10,1,2.709,ok
NON,10,1,2.469,ok
CON,10,1,2.259,ok
NON,10,1,2.711,ok
CON,10,1,2.513,ok
NON,10,1,2.244,ok
CON,10,1,2738.433,ok
NON,10,1,2.712,ok
CON,10,1,1.848,ok
NON,10,1,2.687,ok
