protocol,request_num,rtt_ms,payload_bytes,header_bytes,total_bytes,status
CoAP,1,1.392,256,9,265,ok
CoAP,2,1.146,256,9,265,ok
CoAP,3,1.188,256,9,265,ok
CoAP,4,1.136,256,9,265,ok
CoAP,5,1.355,256,9,265,ok
CoAP,6,1.09,256,9,265,ok
CoAP,7,1.054,256,9,265,ok
CoAP,8,1.117,256,9,265,ok
CoAP,9,1.178,256,9,265,ok
CoAP,10,1.272,256,9,265,ok
CoAP,11,1.134,256,9,265,ok
CoAP,12,1.039,256,9,265,ok
CoAP,13,1.019,256,9,265,ok
CoAP,14,1.346,256,9,265,ok
CoAP,15,1.041,256,9,265,ok
CoAP,16,1.413,256,9,265,ok
CoAP,17,1.042,256,9,265,ok
CoAP,18,0.98,256,9,265,ok
CoAP,19,0.927,256,9,265,ok
CoAP,20,1.17,256,9,265,ok
CoAP,21,0.812,256,9,265,ok
CoAP,22,0.833,256,9,265,ok
CoAP,23,0.89,256,9,265,ok
CoAP,24,0.884,256,9,265,ok
CoAP,25,0.995,256,9,265,ok
CoAP,26,0.957,256,9,265,ok
CoAP,27,0.833,256,9,265,ok
CoAP,28,0.828,256,9,265,ok
CoAP,29,0.849,256,9,265,ok
CoAP,30,0.952,256,9,265,ok
CoAP,31,0.857,256,9,265,ok
CoAP,32,0.926,256,9,265,ok
CoAP,33,0.849,256,9,265,ok
CoAP,34,0.795,256,9,265,ok
CoAP,35,1.073,256,9,265,ok
CoAP,36,1.018,256,9,265,ok
CoAP,37,1.17,256,9,265,ok
CoAP,38,1.144,256,9,265,ok
CoAP,39,1.078,256,9,265,ok
CoAP,40,1.539,256,9,265,ok
CoAP,41,2.31,256,9,265,ok
CoAP,42,1.133,256,9,265,ok
CoAP,43,1.115,256,9,265,ok
CoAP,44,1.201,256,9,265,ok
CoAP,45,1.065,256,9,265,ok
CoAP,46,0.913,256,9,265,ok
CoAP,47,1.078,256,9,265,ok
CoAP,48,1.004,256,9,265,ok
CoAP,49,0.923,256,9,265,ok
CoAP,50,1.196,256,9,265,ok
CoAP,51,1.085,256,9,265,ok
CoAP,52,0.931,256,9,265,ok
CoAP,53,0.866,256,9,265,ok
CoAP,54,0.837,256,9,265,ok
CoAP,55,0.85,256,9,265,ok
CoAP,56,0.903,256,9,265,ok
CoAP,57,0.991,256,9,265,ok
CoAP,58,0.929,256,9,265,ok
CoAP,59,0.955,256,9,265,ok
CoAP,60,0.802,256,9,265,ok
CoAP,61,0.953,256,9,265,ok
CoAP,62,0.882,256,9,265,ok
CoAP,63,0.809,256,9,265,ok
CoAP,64,0.925,256,9,265,ok
CoAP,65,0.854,256,9,265,ok
CoAP,66,0.76,256,9,265,ok
CoAP,67,0.792,256,9,265,ok
CoAP,68,1.089,256,9,265,ok
CoAP,69,0.903,256,9,265,ok
CoAP,70,1.034,256,9,265,ok
CoAP,71,0.847,256,9,265,ok
CoAP,72,0.782,256,9,265,ok
CoAP,73,0.84,256,9,265,ok
CoAP,74,0.815,256,9,265,ok
CoAP,75,0.787,256,9,265,ok
CoAP,76,0.934,256,9,265,ok
CoAP,77,0.861,256,9,265,ok
CoAP,78,0.741,256,9,265,ok
CoAP,79,0.882,256,9,265,ok
CoAP,80,0.831,256,9,265,ok
CoAP,81,1.065,256,9,265,ok
CoAP,82,0.838,256,9,265,ok
CoAP,83,0.877,256,9,265,ok
CoAP,84,0.841,256,9,265,ok
CoAP,85,0.752,256,9,265,ok
CoAP,86,0.816,256,9,265,ok
CoAP,87,0.973,256,9,265,ok
CoAP,88,1.102,256,9,265,ok
CoAP,89,1.258,256,9,265,ok
CoAP,90,1.078,256,9,265,ok
CoAP,91,0.83,256,9,265,ok
CoAP,92,0.785,256,9,265,ok
CoAP,93,0.769,256,9,265,ok
CoAP,94,1.035,256,9,265,ok
CoAP,95,0.819,256,9,265,ok
CoAP,96,0.945,256,9,265,ok
CoAP,97,0.867,256,9,265,ok
CoAP,98,0.804,256,9,265,ok
CoAP,99,1.005,256,9,265,ok
CoAP,100,0.945,256,9,265,ok
