payload_size,protocol,fragmented,avg_rtt_ms,std_dev_ms,jitter_ms,avg_total_bytes,n_ok
64,CoAP,no,0.873,0.152,0.102,73.0,100
64,HTTP,no,0.281,0.067,0.034,216.0,100
256,CoAP,no,0.991,0.21,0.138,265.0,100
256,HTTP,no,0.38,0.087,0.058,409.0,100
512,CoAP,no,0.848,0.13,0.079,521.0,100
512,HTTP,no,0.335,0.08,0.038,665.0,100
1024,CoAP,no,0.846,0.125,0.079,1033.0,100
1024,HTTP,no,0.317,0.106,0.039,1178.0,100
2048,CoAP,yes,1.738,0.434,0.188,2059.0,100
2048,HTTP,yes,0.34,0.249,0.075,2202.0,100
4096,CoAP,yes,2.741,0.389,0.206,4107.0,100
4096,HTTP,yes,0.329,0.093,0.045,4250.0,100
8192,CoAP,yes,5.487,1.066,0.632,8203.0,100
8192,HTTP,yes,0.343,0.117,0.065,8346.0,100
16384,CoAP,yes,10.344,1.874,0.903,16395.0,100
16384,HTTP,yes,0.334,0.087,0.041,16539.0,100
65536,CoAP,yes,40.198,8.68,4.176,65548.2,100
65536,HTTP,yes,0.36,0.078,0.04,65691.0,100
